# ISO 639-3 language codes used by chatter.
#
# Source: the ISO 639-3 code tables published by iso639-3.sil.org, the ISO
# registration authority for the standard. This file is a DERIVED product:
# it carries the identifiers chatter needs and nothing else, and it is not
# the code tables. The identifiers themselves are unmodified.
#
# Release: 20260715
# Generated by: scripts/update_iso639_3.py (re-run it when a new release
# appears; never hand-edit this file).
#
# Columns: code<TAB>status<TAB>change_to
#   current      assigned today.
#   retired      no longer assigned, still VALID here because a CHAT file is
#                a historical document; change_to names its replacement.
#   private_use  qaa..qtz, reserved by the standard for local use.
#
# Totals: 7927 current, 388 retired, 520 private use, 8835 in all.
bxn	current	
bxo	current	
bxp	current	
bxq	current	
bxr	current	
bxs	current	
bxt	retired	bgk
bxu	current	
bxv	current	
bxw	current	
bxx	retired	
bxz	current	
bya	current	
byb	current	
byc	current	
byd	current	
bye	current	
byf	current	
byg	current	
byh	current	
byi	current	
byj	current	
byk	current	
byl	current	
bym	current	
byn	current	
byo	current	
byp	current	
byq	current	
byr	current	
bys	current	
byt	current	
byu	retired	
byv	current	
byw	current	
byx	current	
byy	retired	
byz	current	
bza	current	
bzb	current	
bzc	current	
bzd	current	
bze	current	
bzf	current	
bzg	current	
bzh	current	
bzi	current	
bzj	current	
bzk	current	
bzl	current	
bzm	current	
bzn	current	
bzo	current	
bzp	current	
bzq	current	
bzr	current	
bzs	current	
bzt	current	
bzu	current	
bzv	current	
bzw	current	
bzx	current	
bzy	current	
bzz	current	
caa	current	
cab	current	
cac	current	
cad	current	
cae	current	
caf	current	
cag	current	
cah	current	
caj	current	
cak	current	
cal	current	
cam	current	
can	current	
cao	current	
cap	current	
caq	current	
car	current	
cas	current	
cat	current	
cav	current	
caw	current	
cax	current	
cay	current	
caz	current	
cbb	current	
cbc	current	
cbd	current	
cbe	retired	
cbg	current	
cbh	retired	
cbi	current	
cbj	current	
cbk	current	
cbl	current	
cbm	retired	cak
cbn	current	
cbo	current	
cbq	current	
cbr	current	
cbs	current	
cbt	current	
cbu	current	
cbv	current	
cbw	current	
cby	current	
cca	retired	
ccc	current	
ccd	current	
cce	current	
ccg	current	
cch	current	
ccj	current	
ccl	current	
ccm	current	
cco	current	
ccp	current	
ccq	retired	rki
ccr	current	
ccx	retired	
ccy	retired	
cda	current	
cde	current	
cdf	current	
cdg	retired	
cdh	current	
cdi	current	
cdj	current	
cdm	current	
cdn	current	
cdo	current	
cdr	current	
cds	current	
cdy	current	
cdz	current	
cea	current	
ceb	current	
ceg	current	
cek	current	
cen	current	
ces	current	
cet	current	
cey	current	
cfa	current	
cfd	current	
cfg	current	
cfm	current	
cga	current	
cgc	current	
cgg	current	
cgk	current	
cha	current	
chb	current	
chc	current	
chd	current	
che	current	
chf	current	
chg	current	
chh	current	
chj	current	
chk	current	
chl	current	
chm	current	
chn	current	
cho	current	
chp	current	
chq	current	
chr	current	
chs	retired	
cht	current	
chu	current	
chv	current	
chw	current	
chx	current	
chy	current	
chz	current	
cia	current	
cib	current	
cic	current	
cid	current	
cie	current	
cih	current	
cik	current	
cim	current	
cin	current	
cip	current	
cir	current	
cit	retired	
ciw	current	
ciy	current	
cja	current	
cje	current	
cjh	current	
cji	current	
cjk	current	
cjm	current	
cjn	current	
cjo	current	
cjp	current	
cjr	retired	mom
cjs	current	
cjv	current	
cjy	current	
cka	retired	cmr
ckb	current	
ckc	retired	cak
ckd	retired	cak
cke	retired	cak
ckf	retired	cak
ckh	current	
cki	retired	cak
ckj	retired	cak
ckk	retired	cak
ckl	current	
ckm	current	
ckn	current	
cko	current	
ckq	current	
ckr	current	
cks	current	
ckt	current	
cku	current	
ckv	current	
ckw	retired	cak
ckx	current	
cky	current	
ckz	current	
cla	current	
clc	current	
cld	current	
cle	current	
clh	current	
cli	current	
clj	current	
clk	current	
cll	current	
clm	current	
clo	current	
cls	current	
clt	current	
clu	current	
clw	current	
cly	current	
cma	current	
cme	current	
cmg	current	
cmi	current	
cmk	retired	xch
cml	current	
cmm	current	
cmn	current	
cmo	current	
cmr	current	
cms	current	
cmt	current	
cna	current	
cnb	current	
cnc	current	
cng	current	
cnh	current	
cni	current	
cnk	current	
cnl	current	
cnm	retired	cac
cno	current	
cnp	current	
cnq	current	
cnr	current	
cns	current	
cnt	current	
cnu	current	
cnw	current	
cnx	current	
coa	current	
cob	current	
coc	current	
cod	current	
coe	current	
cof	current	
cog	current	
coh	current	
coj	current	
cok	current	
col	current	
com	current	
con	current	
coo	current	
cop	current	
coq	current	
cor	current	
cos	current	
cot	current	
cou	current	
cov	current	
cow	current	
cox	current	
coy	retired	pij
coz	current	
cpa	current	
cpb	current	
cpc	current	
cpg	current	
cpi	current	
cpn	current	
cpo	current	
cps	current	
cpu	current	
cpx	current	
cpy	current	
cqd	current	
cqu	retired	quh
cra	current	
crb	current	
crc	current	
